,spkts,dloss,ct_srv_src,ct_state_ttl,ct_dst_src_ltm,ct_src_ltm,label
137,10,2,4,1,4,3,0
138,10,1,5,1,2,1,0
139,10,2,4,1,4,3,0
140,10,1,3,1,1,1,0
141,10,1,3,1,2,2,0
142,10,1,3,1,2,1,0
143,10,2,4,1,4,1,0
144,10,1,2,1,2,2,0
145,10,2,4,1,4,3,0
146,10,2,4,1,4,3,0
147,10,1,2,1,2,1,0
148,10,1,4,1,1,3,0
149,10,2,2,1,2,1,0
150,10,1,2,1,2,1,0
151,10,2,2,1,2,1,0
152,10,1,2,1,2,1,0
153,10,1,2,1,2,1,0
154,10,1,3,1,2,2,0
155,10,1,6,1,4,1,0
156,10,1,3,1,2,1,0
157,10,2,2,1,2,1,0
158,10,1,6,1,4,1,0
159,10,1,5,1,3,2,0
160,10,2,2,1,1,1,0
161,10,1,18,1,1,2,0
162,10,1,5,1,3,2,0
163,12,0,18,6,18,11,0
164,12,0,18,6,18,11,0
165,12,0,18,6,18,11,0
166,12,0,18,6,18,11,0
167,12,0,18,6,18,11,0
168,12,0,18,6,18,11,0
169,12,0,18,6,18,11,0
170,12,0,18,6,18,11,0
171,10,1,5,1,3,2,0
172,12,0,18,6,18,11,0
173,12,0,18,6,18,11,0
174,2,0,18,6,18,11,0
175,10,0,27,6,25,22,0
176,10,0,27,6,25,22,0
177,10,0,27,6,25,22,0
178,10,1,27,1,1,22,0
179,10,0,27,6,25,22,0
180,10,0,27,6,25,22,0
181,10,0,27,6,25,22,0
182,12,2,2,1,2,1,0
183,10,0,27,6,25,22,0
184,10,0,27,6,25,22,0
185,10,0,27,6,25,22,0
186,10,0,18,6,18,6,0
187,10,0,18,6,18,6,0
188,10,0,18,6,18,6,0
189,10,0,18,6,18,6,0
190,10,0,18,6,18,6,0
191,10,0,18,6,18,6,0
192,10,0,27,6,25,22,0
193,10,0,27,6,25,22,0
194,10,0,27,6,25,22,0
195,10,0,27,6,25,22,0
196,10,0,27,6,25,22,0
197,10,0,27,6,25,22,0
198,10,0,27,6,25,22,0
199,10,0,27,6,25,22,0
200,10,0,27,6,25,22,0
201,10,0,27,6,25,22,0
202,10,0,27,6,25,22,0
203,8,0,27,6,25,2,0
204,8,0,27,6,25,2,0
205,2,0,2,2,1,1,0
206,8,0,27,6,25,3,0
207,8,0,27,6,25,3,0
208,8,0,11,6,10,5,0
209,8,0,11,6,10,5,0
210,8,0,11,6,10,5,0
211,8,0,11,6,10,5,0
212,8,0,11,6,10,5,0
213,2,0,4,2,2,2,0
214,10,2,2,1,2,1,0
215,10,1,2,1,1,1,0
216,8,0,27,6,25,3,0
217,10,1,11,1,1,6,0
218,2,0,4,2,4,4,0
219,6,0,11,6,10,6,0
220,6,0,11,6,10,6,0
221,2,0,4,2,4,4,0
222,2,0,4,2,4,4,0
223,6,0,11,6,10,6,0
224,2,0,4,2,4,4,0
225,6,0,11,6,10,6,0
226,10,1,4,1,2,1,0
227,4,0,8,6,7,7,0
228,4,0,8,6,7,7,0
229,4,0,8,6,7,7,0
230,4,0,8,6,7,7,0
231,4,0,11,6,10,1,0
232,4,0,8,6,7,7,0
233,10,1,4,1,2,1,0
234,2,0,4,2,2,3,0
235,4,0,8,6,7,7,0
236,4,0,8,6,7,7,0
237,2,0,2,2,2,3,0
238,2,0,2,2,2,3,0
239,10,1,4,1,2,1,0
240,10,1,8,1,1,1,0
241,12,2,2,1,1,1,0
242,2,0,4,2,2,1,0
243,20,0,1,2,2,1,1
244,20,0,1,2,2,1,1
245,20,0,1,2,2,1,1
246,20,0,1,2,2,1,1
247,2,0,1,2,2,1,1
248,2,0,1,2,63,1,1
249,2,0,1,2,63,1,1
250,2,0,1,2,63,1,1
251,2,0,1,2,63,1,1
252,2,0,1,2,1,1,1
253,10,2,3,1,2,2,1
254,10,2,2,1,3,2,1
255,10,1,3,1,1,1,1
256,10,1,2,1,1,1,1
257,12,3,1,1,1,1,1
258,10,2,1,1,1,1,1
259,2,0,1,2,1,1,1
260,10,1,1,1,1,1,1
261,10,1,1,1,1,1,1
262,202,645,1,1,1,1,1
263,10,1,1,1,1,2,1
264,12,7,1,1,1,1,1
265,2,0,3,2,1,1,1
266,28,0,1,2,1,1,1
267,28,0,1,2,1,1,1
268,28,0,1,2,1,1,1
269,28,0,1,2,1,1,1
270,28,0,1,2,1,1,1
271,10,2,2,1,2,1,1
272,10,1,1,1,1,3,1
273,10,1,12,1,12,2,1
274,10,1,12,1,12,5,1
275,2,0,4,2,1,1,1
276,10,1,10,1,10,3,1
277,10,1,7,1,7,1,1
278,22,9,1,1,2,2,1
279,8,2,1,1,2,2,1
280,2,0,5,2,1,2,1
281,20,1,7,1,6,2,1
282,10,1,7,1,6,1,1
283,10,1,3,1,3,2,1
284,10,1,3,1,3,2,1
285,10,1,1,1,1,2,1
286,12,1,4,1,1,2,1
287,16,4,1,1,1,1,1
288,10,1,3,1,3,2,1
289,10,1,1,1,1,1,1
290,10,1,9,1,6,2,1
291,10,1,7,1,7,1,1
292,10,1,7,1,7,2,1
293,10,2,1,1,1,3,1
294,10,1,5,1,5,2,1
295,10,2,2,1,2,1,1
296,10,1,1,1,1,1,1
297,10,2,2,1,2,2,1
298,10,1,1,1,1,1,1
299,10,1,1,1,1,1,1
300,20,8,1,1,1,1,1
301,20,10,1,1,1,1,1
302,10,2,2,1,2,2,1
303,246,775,1,1,1,1,1
304,20,8,2,1,1,2,1
305,10,1,1,1,2,1,1
306,16,2,1,1,2,1,1
307,10,1,5,1,5,1,1
308,10,1,5,1,5,2,1
309,12,1,5,1,5,2,1
310,10,1,3,1,3,2,1
311,2,0,5,2,1,2,1
312,10,1,1,1,1,2,1
313,10,1,3,1,3,1,1
314,10,1,6,1,5,1,1
315,12,1,4,1,3,1,1
316,12,3,2,1,4,2,1
317,10,1,6,1,5,1,1
318,14,1,4,1,3,1,1
319,10,1,1,1,1,1,1
320,10,1,6,1,6,1,1
321,10,1,5,1,5,2,1
322,10,1,1,1,1,1,1
323,12,11,2,1,1,1,1
324,10,2,1,1,1,1,1
325,12,2,7,1,3,4,1
326,34,4,6,1,4,4,1
327,12,2,3,1,1,1,1
328,12,2,3,1,3,3,1
329,12,2,1,1,1,3,1
330,12,2,5,1,3,2,1
331,26,30,1,1,2,2,1
332,224,8,1,1,1,1,1
333,12,2,3,1,3,2,1
334,12,2,4,1,2,1,1
335,10,3,1,1,1,1,1
336,10,2,2,1,1,1,1
337,12,2,3,1,2,1,1
338,10,2,2,1,1,1,1
339,12,2,4,1,2,2,1
340,12,2,4,1,2,1,1
341,38,8,1,1,1,2,1
342,38,8,1,1,1,2,1
343,12,2,3,1,2,1,1
344,12,2,2,1,2,2,1
345,12,2,5,1,3,2,1
346,12,2,5,1,4,1,1
347,12,2,7,1,4,3,1
348,36,2,2,1,1,2,1
349,10,3,1,1,1,3,1
350,10,2,1,1,1,1,1
351,14,2,3,1,3,2,1
352,12,2,3,1,2,3,1
353,14,4,1,1,1,1,1
354,14,4,2,1,2,1,1
355,12,2,2,1,2,1,1
356,14,4,2,1,2,1,1
357,10,1,1,1,1,1,1
358,12,2,2,1,2,1,1
359,20,0,1,2,1,1,1
360,20,0,1,2,1,1,1
361,20,0,1,2,1,1,1
362,20,0,1,2,1,1,1
363,20,0,1,2,1,1,1
364,20,0,1,2,1,1,1
365,48,8,1,1,1,1,1
366,10,1,2,1,1,1,1
367,22,9,1,1,2,2,1
368,2,0,2,2,1,1,1
369,10,1,1,1,1,1,1
370,150,8,1,1,1,2,1
371,2,0,1,2,1,1,1
372,2,0,1,2,1,1,1
373,2,0,1,2,1,1,1
374,2,0,1,2,1,1,1
375,2,0,1,2,1,1,1
376,18,0,1,2,1,1,1
377,18,0,1,2,1,1,1
378,18,0,1,2,1,1,1
379,2,0,2,2,1,1,1
380,10,1,1,1,1,1,1
381,10,2,3,1,1,1,1
382,2,0,37,2,37,10,1
383,2,0,37,2,37,10,1
384,2,0,39,2,39,14,1
385,2,0,39,2,39,14,1
386,2,0,39,2,39,14,1
387,10,1,1,1,1,1,1
388,2,0,39,2,39,15,1
389,2,0,39,2,39,15,1
390,22,23,1,1,1,1,1
391,22,9,1,1,2,2,1
392,12,3,1,1,1,1,1
393,10,1,2,1,1,1,1
394,20,17,1,1,1,1,1
395,28,11,1,1,1,1,1
396,12,1,1,1,1,1,1
397,12,1,1,1,1,1,1
398,10,1,8,1,8,2,1
399,10,1,10,1,11,3,1
400,10,1,10,1,11,1,1
401,40,0,1,2,1,2,1
402,10,4,1,1,1,1,1
403,16,2,1,1,1,1,1
404,10,1,1,1,1,1,1
405,10,1,1,1,1,1,1
406,116,0,2,2,2,4,1
407,28,10,4,1,4,2,1
408,18,6,1,1,1,1,1
409,12,3,6,1,2,3,1
410,16,3,5,1,5,2,1
411,16,3,5,1,5,2,1
412,10,3,4,1,2,2,1
413,14,4,3,1,3,1,1
414,16,3,4,1,4,2,1
415,10,2,1,1,1,1,1
416,10,3,1,1,1,1,1
417,14,4,4,1,4,3,1
418,18,5,1,1,1,1,1
419,10,1,1,1,1,1,1
420,34,8,1,1,1,1,1
421,5416,1,1,1,1,1,1
422,10,2,2,1,1,1,1
423,20,10,1,1,1,1,1
424,10,1,1,1,2,1,1
425,10,1,1,1,1,1,1
426,10,2,1,1,1,1,1
427,2,0,1,2,1,2,1
428,10,5,1,1,1,1,1
429,10,2,1,1,1,1,1
430,2,0,1,2,1,1,1
431,10,1,1,1,1,1,1
432,2,0,5,2,5,2,1
433,16,4,5,1,5,1,1
434,10,6,1,1,1,1,1
435,10,3,1,1,1,1,1
436,12,2,1,1,2,1,1
437,24,8,1,1,2,1,1
438,20,17,4,1,1,2,1
439,2,0,1,2,1,1,1
440,2,0,1,2,1,1,1
441,10,1,1,1,1,1,1
442,18,12,1,1,1,1,1
443,10,1,1,1,1,1,1
444,12,9,1,1,1,2,1
445,10,1,4,1,1,2,1
446,4144,2,1,1,2,1,1
447,10,1,2,1,1,1,1
448,2,0,5,2,1,2,1
449,2,0,1,2,1,1,1
450,10,1,1,1,1,1,1
451,182,8,1,1,1,1,1
452,2,0,1,2,1,1,1
453,2,0,1,2,1,1,1
454,2,0,2,2,1,1,1
455,10,1,1,1,1,1,1
456,10,1,1,1,1,1,1
457,10,3,1,1,1,2,1
458,2,1,2,4,2,1,1
459,10,1,2,1,1,1,1
460,10,2,1,1,1,1,1
461,2,0,4,2,3,5,1
462,2,0,4,2,3,5,1
463,2,0,4,2,3,5,1
464,2,0,4,2,3,5,1
465,2,0,4,2,3,5,1
466,2,0,4,2,3,5,1
467,2,0,4,2,3,5,1
468,2,0,4,2,3,5,1
469,2,0,4,2,3,5,1
470,2,0,4,2,3,5,1
471,2,0,4,2,3,5,1
472,22,9,1,1,2,2,1
473,22,9,1,1,2,2,1
474,4,0,1,2,1,2,1
475,4,0,1,2,1,2,1
476,4,0,1,2,1,2,1
477,4,0,1,2,1,2,1
478,12,1,1,1,1,1,1
479,10,1,1,1,1,1,1
480,10,1,1,1,1,1,1
481,2,0,10,2,10,10,1
482,2,0,10,2,10,10,1
483,2,0,10,2,10,10,1
484,2,0,10,2,10,10,1
485,2,0,10,2,10,10,1
486,2,0,10,2,10,10,1
487,2,0,10,2,10,10,1
488,2,0,10,2,10,10,1
489,2,0,10,2,10,10,1
490,2,0,10,2,10,10,1
491,2,0,10,2,10,10,1
492,2,0,1,2,1,1,1
493,2,0,10,2,10,10,1
494,18,9,2,1,2,1,1
495,2,0,10,2,10,10,1
496,2,0,1,2,1,1,1
497,2,0,10,2,10,10,1
498,22,20,1,1,1,2,1
499,10,2,1,1,1,1,1
500,2,0,10,2,10,10,1
501,10,3,1,1,1,1,1
502,2,0,10,2,10,10,1
503,2,0,1,2,1,1,1
504,2,0,10,2,10,10,1
505,22,9,1,1,2,2,1
506,10,1,1,1,2,1,1
507,252,8,1,1,1,1,1
508,2,0,27,2,1,9,1
509,10,1,5,1,5,2,1
510,2,0,1,2,1,1,1
511,4,0,3,2,3,2,1
512,20,0,1,2,1,1,1
513,20,0,1,2,1,1,1
514,4,0,3,2,3,2,1
515,1642,5507,1,1,1,1,1
516,4,0,3,2,3,2,1
517,12,9,1,1,1,1,1
518,4,0,3,2,3,2,1
519,60,172,1,1,1,2,1
520,2,0,2,2,1,1,1
521,4,0,3,2,3,2,1
522,232,8,1,1,1,1,1
523,2,0,3,2,3,2,1
524,40,0,1,2,1,2,1
525,2,0,3,2,3,2,1
526,40,0,1,2,1,2,1
527,2,0,3,2,3,1,1
528,40,0,1,2,1,2,1
529,2,0,3,2,3,1,1
530,40,0,1,2,1,2,1
531,10,1,2,1,2,1,1
532,2,0,6,2,6,1,1
533,22,1,1,1,1,1,1
534,2,0,6,2,6,1,1
535,10,1,1,1,1,1,1
536,2,0,6,2,6,5,1
537,2,0,6,2,6,5,1
538,10,1,1,1,1,1,1
539,2,0,6,2,6,5,1
540,10,4,1,1,2,1,1
541,2,0,6,2,6,5,1
542,10,2,2,1,2,2,1
543,2,0,6,2,6,5,1
544,10,1,1,1,1,1,1
545,10,1,1,1,1,1,1
546,2,0,6,2,6,5,1
547,10,1,2,1,2,1,1
548,2,0,6,2,6,5,1
549,62,182,1,1,1,1,1
550,18,7,1,1,1,1,1
551,2,0,6,2,6,5,1
552,10,1,3,1,1,1,1
553,26,8,1,1,1,1,1
554,2,0,6,2,6,5,1
555,2,0,1,0,1,1,1
556,2,0,6,2,6,5,1
557,90,8,1,1,1,1,1
558,2,0,6,2,6,4,1
559,10,4,1,1,1,1,1
560,2,0,6,2,6,4,1
561,10,1,1,1,1,1,1
562,2,0,6,2,6,4,1
563,12,11,2,1,1,1,1
564,2,0,6,2,6,4,1
565,22,9,1,1,2,2,1
566,2,0,6,2,6,4,1
567,26,10,2,1,1,2,1
568,10,1,1,1,1,1,1
569,2,0,6,2,6,4,1
570,12,1,1,1,1,1,1
571,2,0,4,2,4,4,1
572,50,8,2,1,1,1,1
573,2,0,4,2,4,4,1
574,2,0,4,2,4,4,1
575,10,2,1,1,1,1,1
576,2,0,4,2,4,4,1
577,2,0,1,2,1,1,1
578,2,0,4,2,4,4,1
579,10,1,1,1,1,1,1
580,20,38,1,1,1,2,1
581,2,0,4,2,4,4,1
582,10,1,1,1,1,1,1
583,2,0,6,2,5,4,1
584,2,0,6,2,5,4,1
585,10,2,1,1,1,1,1
586,12,2,3,1,1,3,1
587,10,1,2,1,2,2,1
588,10,1,2,1,1,2,1
589,2,0,4,2,4,3,1
590,10,2,1,1,1,1,1
591,2,0,3,2,3,1,1
592,2,0,3,2,3,1,1
593,26,8,1,1,1,1,1
594,2,0,3,2,3,3,1
595,10,1,1,1,1,1,1
596,8,3,1,1,2,2,1
597,2,0,4,2,3,2,1
598,10,1,8,1,8,2,1
599,2,0,4,2,4,2,1
600,10,1,7,1,7,2,1
601,10,1,7,1,7,2,1
602,2,0,4,2,4,2,1
603,10,1,7,1,7,2,1
604,10,1,2,1,1,2,1
605,2,0,2,2,1,1,1
606,2,0,4,2,4,2,1
607,8,2,1,1,2,2,1
608,12,2,1,1,1,2,1
609,2,0,4,2,4,2,1
610,2,0,2,2,1,2,1
611,10,1,6,1,5,1,1
612,2,0,4,2,4,2,1
613,28,39,1,1,1,2,1
614,2,0,4,2,4,2,1
615,10,1,1,1,1,2,1
616,2,0,4,2,4,1,1
617,22,8,1,1,1,1,1
618,2,0,4,2,4,1,1
619,2,0,1,2,1,1,1
620,24,21,1,1,1,1,1
621,2,0,4,2,4,2,1
622,2,0,4,2,4,2,1
623,2,0,4,2,4,2,1
624,10,1,1,1,1,1,1
625,2,0,4,2,4,2,1
626,2,0,1,2,1,1,1
627,2,0,4,2,4,2,1
628,2,0,1,2,1,2,1
629,10,2,1,1,1,1,1
630,2,0,4,2,4,1,1
631,2,0,4,2,4,1,1
632,2,0,4,2,4,1,1
633,10,1,1,1,1,1,1
634,2,0,7,2,7,1,1
635,10,4,1,1,1,1,1
636,2,0,7,2,7,1,1
637,12,10,1,1,1,1,1
638,2,0,7,2,7,1,1
639,12,2,2,1,2,1,1
640,2,0,7,2,7,2,1
641,10,1,2,1,1,1,1
642,2,0,7,2,7,2,1
643,136,8,1,1,1,1,1
644,2,0,7,2,7,2,1
645,22,21,1,1,2,1,1
646,2,0,7,2,7,2,1
647,2,0,1,2,1,1,1
648,2,0,7,2,7,2,1
649,10,4,2,1,1,1,1
650,2,0,7,2,7,2,1
651,10,1,1,1,1,1,1
652,2,0,7,2,7,2,1
653,30,4,6,1,6,3,1
654,2,0,7,2,7,1,1
655,2,0,1,2,1,1,1
656,2,0,7,2,7,1,1
657,32,3,5,1,5,1,1
658,22,9,1,1,2,4,1
659,2,0,7,2,7,3,1
660,26,32,2,1,2,2,1
661,2,0,7,2,7,3,1
662,32,3,7,1,7,1,1
663,2,0,7,2,7,3,1
664,32,4,5,1,5,1,1
665,2,0,7,2,7,3,1
666,10,1,1,1,1,1,1
667,2,0,5,2,5,1,1
668,2,0,5,2,5,1,1
669,22,9,1,1,2,2,1
670,22,9,1,1,5,3,1
671,10,1,3,1,3,1,1
672,28,8,1,1,1,3,1
673,4,0,6,2,6,13,1
674,10,1,1,1,2,1,1
675,4,0,6,2,6,13,1
676,32,3,2,1,3,1,1
677,10,1,5,1,5,2,1
678,4,0,6,2,6,13,1
679,2,0,3,2,1,1,1
680,2,0,5,2,5,3,1
681,2,0,3,2,1,2,1
682,2,0,5,2,5,3,1
683,10,1,1,1,1,1,1
684,2,0,5,2,5,3,1
685,10,3,1,1,1,1,1
686,2,0,5,2,5,3,1
687,2,0,2,2,1,1,1
688,2,0,5,2,5,3,1
689,10,1,1,1,1,1,1
690,2,0,5,2,5,3,1
691,10,1,1,1,1,1,1
692,12,2,2,1,1,1,1
693,10,2,1,1,1,1,1
694,2,0,1,2,1,3,1
695,10,1,2,1,1,1,1
696,2,0,5,2,5,3,1
697,10,1,1,1,1,1,1
698,2,0,5,2,5,3,1
699,20,0,1,2,2,1,1
700,20,0,1,2,2,1,1
701,2,0,6,2,6,2,1
702,20,0,1,2,2,1,1
703,2,0,6,2,6,2,1
704,20,0,1,2,2,1,1
705,2,0,6,2,6,2,1
706,2,0,1,2,2,1,1
707,2,0,1,2,2,1,1
708,2,0,6,2,6,2,1
709,2,0,1,2,63,1,1
710,2,0,6,2,6,1,1
711,10,1,2,1,1,1,1
712,2,0,6,2,6,2,1
713,32,56,2,1,1,1,1
714,2,0,6,2,6,2,1
715,18,6,1,1,1,1,1
716,30,8,1,1,1,1,1
717,2,0,6,2,6,2,1
718,10,1,1,1,1,1,1
719,14,1,3,1,3,1,1
720,118,8,1,1,1,1,1
721,2,0,6,2,6,1,1
722,22,17,1,1,1,1,1
723,10,1,1,1,1,2,1
724,2,0,6,2,6,1,1
725,2,0,6,2,6,1,1
726,10,1,1,1,1,1,1
727,2,0,6,2,6,2,1
728,22,7,1,1,1,1,1
729,2,0,6,2,6,2,1
730,18,8,1,1,1,1,1
731,2,0,6,2,6,2,1
732,2,0,6,2,6,2,1
733,2,0,2,2,2,1,1
734,2,0,6,2,6,2,1
735,10,2,1,1,1,1,1
736,2,0,6,2,6,13,1
737,10,1,1,1,1,1,1
738,2,0,6,2,6,13,1
739,10,2,1,1,1,1,1
740,2,0,6,2,6,13,1
741,10,5,1,1,1,1,1
742,72,8,1,1,1,1,1
743,2,0,6,2,6,1,1
744,88,8,1,1,1,1,1
745,2,0,6,2,6,1,1
746,20,0,1,2,1,1,1
747,2,0,6,2,6,1,1
748,20,0,1,2,1,1,1
749,36,8,1,1,1,1,1
750,10,1,1,1,1,1,1
751,10,1,2,1,1,1,1
752,10,2,1,1,1,1,1
753,2,0,6,2,7,2,1
754,8,2,1,1,3,2,1
755,2,0,6,2,7,2,1
756,10,2,1,1,3,1,1
757,2,0,1,2,1,2,1
758,2,0,6,2,7,10,1
759,10,2,1,1,1,1,1
760,2,0,6,2,7,10,1
761,22,9,1,1,2,2,1
762,10,2,1,1,1,1,1
763,2,0,6,2,7,10,1
764,28,0,1,2,1,1,1
765,28,0,1,2,1,1,1
766,28,0,1,2,1,1,1
767,2,0,6,2,7,2,1
768,36,8,1,1,1,1,1
769,10,1,9,1,1,3,1
770,2,0,6,2,7,2,1
771,10,1,1,1,10,3,1
772,2,0,4,2,4,11,1
773,10,1,10,1,10,3,1
774,20,1,4,1,3,1,1
775,2,0,4,2,4,11,1
776,10,1,7,1,7,2,1
777,2,0,4,2,4,11,1
778,10,1,7,1,7,2,1
779,22,9,1,1,2,2,1
780,2,0,4,2,4,11,1
781,10,1,5,1,4,1,1
782,2,0,7,2,2,3,1
783,2,0,4,2,4,10,1
784,10,1,5,1,4,1,1
785,2,0,4,2,4,10,1
786,2,0,1,2,1,1,1
787,2,0,4,2,4,10,1
788,10,1,3,1,3,2,1
789,2,0,4,2,4,10,1
790,10,1,1,1,1,2,1
791,24,9,1,1,2,3,1
792,2,0,4,2,4,10,1
793,10,1,9,1,6,2,1
794,2,0,4,2,4,10,1
795,10,1,7,1,7,2,1
796,2,0,4,2,4,10,1
797,10,1,7,1,7,2,1
798,2,0,4,2,4,10,1
799,2,0,4,2,4,1,1
800,50,8,1,1,1,3,1
801,2,0,4,2,4,1,1
802,10,1,7,1,7,2,1
803,10,1,7,1,7,2,1
804,10,1,7,1,7,2,1
805,10,1,7,1,7,3,1
806,10,1,1,1,1,1,1
807,2,0,2,2,1,1,1
808,2,0,3,2,4,2,1
809,10,1,1,1,1,1,1
810,2,0,3,2,4,2,1
811,2,0,3,2,4,2,1
812,2,0,1,2,1,1,1
813,10,1,1,1,1,2,1
814,12,11,1,1,1,1,1
815,52,8,1,1,1,1,1
816,2,0,4,2,4,11,1
817,2,0,1,2,1,1,1
818,2,0,4,2,4,11,1
819,24,8,1,1,1,3,1
820,2,0,4,2,4,11,1
821,46,116,1,1,1,1,1
822,2,0,4,2,4,11,1
823,10,1,6,1,5,1,1
824,2,0,4,2,4,11,1
825,10,1,2,1,3,1,1
826,10,1,6,1,5,1,1
827,2,0,4,2,4,2,1
828,10,1,3,1,2,3,1
829,2,0,4,2,4,2,1
830,10,1,4,1,4,1,1
831,2,0,4,2,4,2,1
832,10,1,4,1,4,1,1
833,2,0,4,2,4,2,1
834,2,0,4,2,1,1,1
835,2,0,5,2,5,6,1
836,10,1,4,1,3,1,1
837,2,0,5,2,5,6,1
838,10,1,6,1,5,1,1
839,2,0,5,2,5,6,1
840,46,8,1,1,4,2,1
841,10,1,4,1,2,1,1
842,2,0,5,2,5,6,1
843,10,1,4,1,4,2,1
844,2,0,5,2,5,6,1
845,10,1,4,1,4,2,1
846,80,1,1,1,1,1,1
847,10,1,6,1,6,2,1
848,2,0,5,2,5,2,1
849,14,1,6,1,6,1,1
850,2,0,5,2,5,2,1
851,12,2,5,1,5,1,1
852,2,0,5,2,5,2,1
853,10,1,5,1,5,1,1
854,2,0,5,2,5,3,1
855,2,0,5,2,5,3,1
856,12,2,5,1,5,2,1
857,2,0,5,2,5,3,1
858,12,2,2,1,2,1,1
859,2,0,5,2,5,3,1
860,10,1,1,1,1,1,1
861,2,0,6,2,6,11,1
862,12,2,4,1,3,1,1
863,2,0,6,2,6,11,1
864,12,2,3,1,3,1,1
865,12,2,4,1,2,3,1
866,2,0,6,2,6,11,1
867,2,0,4,2,1,3,1
